company_id,person_id,match_type,score
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,55931549,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91932,47280941,Exact,1.0
91939,79312959,Exact,1.0
91939,4105284,Exact,1.0
91939,49159796,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,10786685,Exact,1.0
91939,12272049,Exact,1.0
91941,48485625,Exact,1.0
91941,48485625,Exact,1.0
91941,48485625,Exact,1.0
91941,48485625,Exact,1.0
91941,48485625,Exact,1.0
91941,53574113,Exact,1.0
91941,53574113,Exact,1.0
91941,53574113,Exact,1.0
91941,53574113,Exact,1.0
91941,53574113,Exact,1.0
91956,55793107,Exact,1.0
91956,11507163,Exact,1.0
91956,11507163,Exact,1.0
91956,11507163,Exact,1.0
91956,11507163,Exact,1.0
91956,54801645,Exact,1.0
91956,54801645,Exact,1.0
91956,54801645,Exact,1.0
91956,54801645,Exact,1.0
91956,4738790,Exact,1.0
91983,10661746,Exact,1.0
92009,70091950,Exact,1.0
92009,70091950,Exact,1.0
92009,70091950,Exact,1.0
92009,70091950,Exact,1.0
92009,70091950,Exact,1.0
92009,70091950,Exact,1.0
92091,56992033,Exact,1.0
92105,50029555,Exact,1.0
92162,12405282,Exact,1.0
92162,12405282,Exact,1.0
